symbol,company,industry,tier,price,change_pct,high_52w,low_52w,high_200d,low_200d,from_52w_high_pct,ema20,ema200,above_ema200,rsi14,macd,macd_signal,macd_hist,vol_vs_avg20,consec_days,history_days
BALAXI,BALAXI PHARMACEUTICALS LIMITED,,2,23.33,0.91,47.01,15.67,37.71,15.67,-50.37,23.58,26.77,False,47.56,-0.057,-0.026,-0.031,0.31,1,247
NILAINFRA,Nila Infrastructures Limited,,2,6.63,0.91,10.89,5.95,9.91,5.95,-39.12,6.77,7.98,False,36.95,-0.148,-0.156,0.007,1.05,1,251
ZODIAC,Zodiac Energy Limited,,2,222.25,0.91,396.95,212.78,354.63,212.78,-44.01,234.08,281.26,False,29.57,-8.047,-6.651,-1.396,0.56,1,247
BANSWRAS,Banswara Syntex Limited,,2,110.32,0.9,136.73,95.35,136.73,95.35,-19.32,114.85,120.15,False,34.67,-2.88,-2.486,-0.394,1.3,1,249
INDRAMEDCO,Indraprastha Medical Corporation Limited,,2,362.9,0.9,615.95,345.66,486.88,345.66,-41.08,357.19,394.92,False,54.57,-2.614,-3.882,1.268,0.81,3,252
RELIGARE,Religare Enterprises Limited,,2,249.89,0.9,278.36,201.11,278.36,201.11,-10.23,248.64,243.12,True,52.55,2.579,2.237,0.342,0.19,2,250
SUVEN,Suven Life Sciences Limited,,2,336.45,0.9,392.05,126.65,392.05,126.65,-14.18,356.55,263.42,True,42.65,3.009,9.331,-6.322,0.58,1,249
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components,1,11138.0,0.89,11851.0,6416.17,11851.0,6538.52,-6.02,11141.69,8909.22,True,53.2,263.676,337.426,-73.75,3.32,1,249
HONAUT,Honeywell Automation India Ltd.,Capital Goods,1,33895.0,0.89,40105.0,26250.78,40105.0,26250.78,-15.48,35389.51,35113.31,False,32.13,-875.504,-722.99,-152.515,0.86,1,247
AMAGI,Amagi Media Labs Limited,,2,574.35,0.89,674.7,316.7,674.7,316.7,-14.87,579.67,477.48,True,46.74,-6.509,-7.025,0.516,0.58,1,166
BAJAJCON,Bajaj Consumer Care Limited,,2,502.45,0.88,670.25,232.89,670.25,247.45,-25.04,505.69,459.18,True,47.77,-1.2,-3.876,2.677,0.33,1,251
GTLINFRA,GTL Infrastructure Limited,,2,1.15,0.88,1.61,0.97,1.61,0.97,-28.57,1.17,1.28,False,41.77,-0.024,-0.024,-0.0,0.92,2,252
